"","X","station","year","month","day","hour","date","rain","temp","rhum","msl","wdsp","wddir","RainLevel","WindLevel","WeatherLevel","DayWindLevel","Warning"
"24",24,"ATHENRY",2017,1,1,23,"2017-01-01 23:00:00","0","2,7",76,"1032",9,10,"Clear","Clear","Clear","Clear","None"
"48",48,"ATHENRY",2017,1,2,23,"2017-01-02 23:00:00","0","0,3",96,"1034,6",2,160,"Clear","Clear","Clear","Clear","None"
"72",72,"ATHENRY",2017,1,3,23,"2017-01-03 23:00:00","0","4,6",86,"1030,7",3,270,"Clear","Clear","Clear","Clear","None"
"96",96,"ATHENRY",2017,1,4,23,"2017-01-04 23:00:00","0","4,9",94,"1030,7",3,80,"Clear","Clear","Clear","Clear","None"
"120",120,"ATHENRY",2017,1,5,23,"2017-01-05 23:00:00","0","9,3",82,"1027,1",7,150,"Clear","Clear","Clear","Clear","None"
"144",144,"ATHENRY",2017,1,6,23,"2017-01-06 23:00:00","0","9,6",98,"1031,5",4,210,"Clear","Clear","Clear","Clear","None"
"168",168,"ATHENRY",2017,1,7,23,"2017-01-07 23:00:00","0,1","8,8",98,"1032,1",3,210,"Clear","Clear","Clear","Clear","None"
"192",192,"ATHENRY",2017,1,8,23,"2017-01-08 23:00:00","0","9,1",91,"1022,2",9,190,"Clear","Clear","Clear","Clear","None"
"216",216,"ATHENRY",2017,1,9,23,"2017-01-09 23:00:00","0","6,3",83,"1013",8,260,"Clear","Clear","Clear","Clear","None"
"240",240,"ATHENRY",2017,1,10,23,"2017-01-10 23:00:00","0,2","10",96,"1012,4",12,240,"Clear","Clear","Clear","Clear","None"
"264",264,"ATHENRY",2017,1,11,23,"2017-01-11 23:00:00","0","5,2",78,"1015,2",9,260,"Clear","Clear","Clear","Clear","None"
"288",288,"ATHENRY",2017,1,12,23,"2017-01-12 23:00:00","0","1,7",86,"1011,3",14,320,"Clear","Clear","Clear","Clear","None"
"312",312,"ATHENRY",2017,1,13,23,"2017-01-13 23:00:00","0","1,7",92,"1023,6",4,250,"Clear","Clear","Clear","Clear","None"
"336",336,"ATHENRY",2017,1,14,23,"2017-01-14 23:00:00","0","7",84,"1027,3",8,260,"Clear","Clear","Clear","Clear","None"
"360",360,"ATHENRY",2017,1,15,23,"2017-01-15 23:00:00","0","7,4",97,"1030,1",3,220,"Clear","Clear","Clear","Clear","None"
"384",384,"ATHENRY",2017,1,16,23,"2017-01-16 23:00:00","0,1","9,2",98,"1031,2",3,210,"Clear","Clear","Clear","Clear","None"
"408",408,"ATHENRY",2017,1,17,23,"2017-01-17 23:00:00","0","8,1",96,"1033,7",3,170,"Clear","Clear","Clear","Clear","None"
"432",432,"ATHENRY",2017,1,18,23,"2017-01-18 23:00:00","0","7,4",78,"1036,5",6,190,"Clear","Clear","Clear","Clear","None"
"456",456,"ATHENRY",2017,1,19,23,"2017-01-19 23:00:00","0","1,6",94,"1034,9",5,80,"Clear","Clear","Clear","Clear","None"
"480",480,"ATHENRY",2017,1,20,23,"2017-01-20 23:00:00","0","0,8",81,"1028,9",5,100,"Clear","Clear","Clear","Clear","None"
"504",504,"ATHENRY",2017,1,21,23,"2017-01-21 23:00:00","0","2,5",90,"1022,1",6,80,"Clear","Clear","Clear","Clear","None"
"528",528,"ATHENRY",2017,1,22,23,"2017-01-22 23:00:00","0","-2",96,"1025,3",3,40,"Clear","Clear","Clear","Clear","None"
"552",552,"ATHENRY",2017,1,23,23,"2017-01-23 23:00:00","0,2","8,3",86,"1018,8",9,180,"Clear","Clear","Clear","Clear","None"
"576",576,"ATHENRY",2017,1,24,23,"2017-01-24 23:00:00","0","11,2",85,"1016,4",11,160,"Clear","Clear","Clear","Clear","None"
"600",600,"ATHENRY",2017,1,25,23,"2017-01-25 23:00:00","0","9,2",67,"1008,9",18,150,"Clear","Clear","Clear","Clear","None"
"624",624,"ATHENRY",2017,1,26,23,"2017-01-26 23:00:00","0","6,1",87,"1000,3",11,120,"Clear","Clear","Clear","Clear","None"
"648",648,"ATHENRY",2017,1,27,23,"2017-01-27 23:00:00","0,3","4,5",95,"1003,9",3,180,"Clear","Clear","Clear","Clear","None"
"672",672,"ATHENRY",2017,1,28,23,"2017-01-28 23:00:00","0","2,5",91,"1008,9",5,190,"Clear","Clear","Clear","Clear","None"
"696",696,"ATHENRY",2017,1,29,23,"2017-01-29 23:00:00","0","7,8",96,"1004,7",3,120,"Clear","Clear","Clear","Clear","None"
"720",720,"ATHENRY",2017,1,30,23,"2017-01-30 23:00:00","0","9,3",94,"999,4",5,240,"Clear","Clear","Clear","Clear","None"
"744",744,"ATHENRY",2017,1,31,23,"2017-01-31 23:00:00","0","0,6",95,"1005",1,30,"Clear","Clear","Clear","Clear","None"
"768",768,"ATHENRY",2017,2,1,23,"2017-02-01 23:00:00","0","7,9",86,"984",11,100,"Clear","Clear","Clear","Clear","None"
"792",792,"ATHENRY",2017,2,2,23,"2017-02-02 23:00:00","0,3","7,8",87,"974,3",17,210,"Clear","Clear","Clear","Clear","None"
"816",816,"ATHENRY",2017,2,3,23,"2017-02-03 23:00:00","0,2","1,7",94,"988,5",5,200,"Clear","Clear","Clear","Clear","None"
"840",840,"ATHENRY",2017,2,4,23,"2017-02-04 23:00:00","0","0",97,"993,8",2,200,"Clear","Clear","Clear","Clear","None"
"864",864,"ATHENRY",2017,2,5,23,"2017-02-05 23:00:00","0","0,7",91,"1012,7",2,150,"Clear","Clear","Clear","Clear","None"
"888",888,"ATHENRY",2017,2,6,23,"2017-02-06 23:00:00","0,4","5,2",87,"1004,3",4,190,"Clear","Clear","Clear","Clear","None"
"912",912,"ATHENRY",2017,2,7,23,"2017-02-07 23:00:00","0","-1,6",95,"1025,1",2,160,"Clear","Clear","Clear","Clear","None"
"936",936,"ATHENRY",2017,2,8,23,"2017-02-08 23:00:00","0","6,9",86,"1022",9,110,"Clear","Clear","Clear","Clear","None"
"960",960,"ATHENRY",2017,2,9,23,"2017-02-09 23:00:00","0","1,8",76,"1024,5",8,80,"Clear","Clear","Clear","Clear","None"
"984",984,"ATHENRY",2017,2,10,23,"2017-02-10 23:00:00","0","2,2",74,"1031,4",6,40,"Clear","Clear","Clear","Clear","None"
"1008",1008,"ATHENRY",2017,2,11,23,"2017-02-11 23:00:00","0","2,6",76,"1030,8",10,20,"Clear","Clear","Clear","Clear","None"
"1032",1032,"ATHENRY",2017,2,12,23,"2017-02-12 23:00:00","0","2,7",90,"1020",9,60,"Clear","Clear","Clear","Clear","None"
"1056",1056,"ATHENRY",2017,2,13,23,"2017-02-13 23:00:00","0","7,1",75,"1013,1",14,80,"Clear","Clear","Clear","Clear","None"
"1080",1080,"ATHENRY",2017,2,14,23,"2017-02-14 23:00:00","0","6,1",93,"1018,7",8,110,"Clear","Clear","Clear","Clear","None"
"1104",1104,"ATHENRY",2017,2,15,23,"2017-02-15 23:00:00","0","7,1",83,"1024,2",10,220,"Clear","Clear","Clear","Clear","None"
"1128",1128,"ATHENRY",2017,2,16,23,"2017-02-16 23:00:00","0","7,8",91,"1024,7",3,160,"Clear","Clear","Clear","Clear","None"
"1152",1152,"ATHENRY",2017,2,17,23,"2017-02-17 23:00:00","0","11,3",87,"1016,9",9,180,"Clear","Clear","Clear","Clear","None"
"1176",1176,"ATHENRY",2017,2,18,23,"2017-02-18 23:00:00","0","8,6",84,"1020,4",6,200,"Clear","Clear","Clear","Clear","None"
"1200",1200,"ATHENRY",2017,2,19,23,"2017-02-19 23:00:00","0","9,6",98,"1022,3",10,230,"Clear","Clear","Clear","Clear","None"
"1224",1224,"ATHENRY",2017,2,20,23,"2017-02-20 23:00:00","0","8,6",96,"1018,6",4,230,"Clear","Clear","Clear","Clear","None"
"1248",1248,"ATHENRY",2017,2,21,23,"2017-02-21 23:00:00","0,1","10,1",95,"1008,4",14,250,"Clear","Clear","Clear","Clear","None"
"1272",1272,"ATHENRY",2017,2,22,23,"2017-02-22 23:00:00","0,1","10,3",94,"994,7",17,210,"Clear","Clear","Clear","Clear","None"
"1296",1296,"ATHENRY",2017,2,23,23,"2017-02-23 23:00:00","0","2,8",81,"1013,8",5,230,"Clear","Clear","Yellow","Yellow","Warning"
"1320",1320,"ATHENRY",2017,2,24,23,"2017-02-24 23:00:00","0","8,3",86,"1007,5",11,190,"Clear","Clear","Clear","Clear","None"
"1344",1344,"ATHENRY",2017,2,25,23,"2017-02-25 23:00:00","0","6,5",82,"1002",6,190,"Clear","Clear","Clear","Clear","None"
"1368",1368,"ATHENRY",2017,2,26,23,"2017-02-26 23:00:00","0,4","2,9",90,"989,8",9,180,"Clear","Clear","Clear","Clear","None"
"1392",1392,"ATHENRY",2017,2,27,23,"2017-02-27 23:00:00","0","-0,8",96,"985,1",4,280,"Clear","Clear","Clear","Clear","None"
"1416",1416,"ATHENRY",2017,2,28,23,"2017-02-28 23:00:00","0","1,7",92,"998",3,210,"Clear","Clear","Clear","Clear","None"
"1440",1440,"ATHENRY",2017,3,1,23,"2017-03-01 23:00:00","0,4","5,2",83,"996",17,250,"Clear","Clear","Clear","Clear","None"
"1464",1464,"ATHENRY",2017,3,2,23,"2017-03-02 23:00:00","0","5,4",94,"1000,8",3,160,"Clear","Clear","Clear","Clear","None"
"1488",1488,"ATHENRY",2017,3,3,23,"2017-03-03 23:00:00","3","5",94,"983,2",9,20,"Clear","Clear","Clear","Clear","None"
"1512",1512,"ATHENRY",2017,3,4,23,"2017-03-04 23:00:00","0","5,2",78,"986,1",6,250,"Clear","Clear","Clear","Clear","None"
"1536",1536,"ATHENRY",2017,3,5,23,"2017-03-05 23:00:00","0","4,6",81,"998,1",5,220,"Clear","Clear","Clear","Clear","None"
"1560",1560,"ATHENRY",2017,3,6,23,"2017-03-06 23:00:00","0","1",93,"1015,5",4,220,"Clear","Clear","Clear","Clear","None"
"1584",1584,"ATHENRY",2017,3,7,23,"2017-03-07 23:00:00","0","8,2",94,"1006,4",7,310,"Clear","Clear","Clear","Clear","None"
"1608",1608,"ATHENRY",2017,3,8,23,"2017-03-08 23:00:00","0","9,6",91,"1011,9",9,210,"Clear","Clear","Clear","Clear","None"
"1632",1632,"ATHENRY",2017,3,9,23,"2017-03-09 23:00:00","0","8,5",92,"1019,5",5,100,"Clear","Clear","Clear","Clear","None"
"1656",1656,"ATHENRY",2017,3,10,23,"2017-03-10 23:00:00","0","10",84,"1013,5",6,170,"Clear","Clear","Clear","Clear","None"
"1680",1680,"ATHENRY",2017,3,11,23,"2017-03-11 23:00:00","0,4","8,6",89,"1009,6",3,170,"Clear","Clear","Clear","Clear","None"
"1704",1704,"ATHENRY",2017,3,12,23,"2017-03-12 23:00:00","0","7,8",88,"1024,3",5,190,"Clear","Clear","Clear","Clear","None"
"1728",1728,"ATHENRY",2017,3,13,23,"2017-03-13 23:00:00","0","11,4",85,"1029,3",12,220,"Clear","Clear","Clear","Clear","None"
"1752",1752,"ATHENRY",2017,3,14,23,"2017-03-14 23:00:00","0","8,5",94,"1033,2",4,220,"Clear","Clear","Clear","Clear","None"
"1776",1776,"ATHENRY",2017,3,15,23,"2017-03-15 23:00:00","0","9,8",92,"1024,9",5,210,"Clear","Clear","Clear","Clear","None"
"1800",1800,"ATHENRY",2017,3,16,23,"2017-03-16 23:00:00","0,1","5,2",78,"1021,7",8,250,"Clear","Clear","Clear","Clear","None"
"1824",1824,"ATHENRY",2017,3,17,23,"2017-03-17 23:00:00","0,6","10,1",96,"1009,3",14,250,"Clear","Clear","Clear","Clear","None"
"1848",1848,"ATHENRY",2017,3,18,23,"2017-03-18 23:00:00","0","10,7",90,"1007,1",19,220,"Clear","Clear","Clear","Clear","None"
"1872",1872,"ATHENRY",2017,3,19,23,"2017-03-19 23:00:00","0,4","10,1",86,"1000,7",12,220,"Clear","Clear","Clear","Clear","None"
"1896",1896,"ATHENRY",2017,3,20,23,"2017-03-20 23:00:00","0,1","1,8",81,"1003,6",9,270,"Clear","Clear","Clear","Clear","None"
"1920",1920,"ATHENRY",2017,3,21,23,"2017-03-21 23:00:00","0,2","2,5",91,"1001,2",5,340,"Clear","Clear","Clear","Clear","None"
"1944",1944,"ATHENRY",2017,3,22,23,"2017-03-22 23:00:00","0","4,1",76,"1016,1",10,340,"Clear","Clear","Clear","Clear","None"
"1968",1968,"ATHENRY",2017,3,23,23,"2017-03-23 23:00:00","0","3,5",89,"1029",5,10,"Clear","Clear","Clear","Clear","None"
"1992",1992,"ATHENRY",2017,3,24,23,"2017-03-24 23:00:00","0","3,2",89,"1034,4",5,80,"Clear","Clear","Clear","Clear","None"
"2016",2016,"ATHENRY",2017,3,25,23,"2017-03-25 23:00:00","0","5,9",66,"1028",5,40,"Clear","Clear","Clear","Clear","None"
"2040",2040,"ATHENRY",2017,3,26,23,"2017-03-26 23:00:00","0","5,4",77,"1021,9",6,70,"Clear","Clear","Clear","Clear","None"
"2064",2064,"ATHENRY",2017,3,27,23,"2017-03-27 23:00:00","0","6,7",88,"1016,5",7,40,"Clear","Clear","Clear","Clear","None"
"2088",2088,"ATHENRY",2017,3,28,23,"2017-03-28 23:00:00","0","10,5",86,"1011",7,150,"Clear","Clear","Clear","Clear","None"
"2112",2112,"ATHENRY",2017,3,29,23,"2017-03-29 23:00:00","0","11,1",89,"1007,9",5,170,"Clear","Clear","Clear","Clear","None"
"2136",2136,"ATHENRY",2017,3,30,23,"2017-03-30 23:00:00","0,9","11,3",92,"1000,8",6,150,"Clear","Clear","Clear","Clear","None"
"2160",2160,"ATHENRY",2017,3,31,23,"2017-03-31 23:00:00","0,1","7,7",94,"1001,9",2,140,"Clear","Clear","Clear","Clear","None"
"2184",2184,"ATHENRY",2017,4,1,23,"2017-04-01 23:00:00","0","4,4",91,"1019,9",4,280,"Clear","Clear","Clear","Clear","None"
"2208",2208,"ATHENRY",2017,4,2,23,"2017-04-02 23:00:00","0","9,9",78,"1018,5",12,170,"Clear","Clear","Clear","Clear","None"
"2232",2232,"ATHENRY",2017,4,3,23,"2017-04-03 23:00:00","0","8,3",87,"1022,6",14,310,"Clear","Clear","Clear","Clear","None"
"2256",2256,"ATHENRY",2017,4,4,23,"2017-04-04 23:00:00","0","8,1",73,"1035,3",3,270,"Clear","Clear","Clear","Clear","None"
"2280",2280,"ATHENRY",2017,4,5,23,"2017-04-05 23:00:00","0","8,1",82,"1035,2",3,320,"Clear","Clear","Clear","Clear","None"
"2304",2304,"ATHENRY",2017,4,6,23,"2017-04-06 23:00:00","0","7,2",85,"1030,7",2,180,"Clear","Clear","Clear","Clear","None"
"2328",2328,"ATHENRY",2017,4,7,23,"2017-04-07 23:00:00","0","4,8",94,"1023,5",1,100,"Clear","Clear","Clear","Clear","None"
"2352",2352,"ATHENRY",2017,4,8,23,"2017-04-08 23:00:00","0","6,1",89,"1016,6",2,270,"Clear","Clear","Clear","Clear","None"
"2376",2376,"ATHENRY",2017,4,9,23,"2017-04-09 23:00:00","0","5,4",81,"1027",4,270,"Clear","Clear","Clear","Clear","None"
"2400",2400,"ATHENRY",2017,4,10,23,"2017-04-10 23:00:00","0","7,1",79,"1031,7",4,260,"Clear","Clear","Clear","Clear","None"
"2424",2424,"ATHENRY",2017,4,11,23,"2017-04-11 23:00:00","0","9,5",74,"1024,2",10,250,"Clear","Clear","Clear","Clear","None"
"2448",2448,"ATHENRY",2017,4,12,23,"2017-04-12 23:00:00","0","7,9",77,"1022",4,290,"Clear","Clear","Clear","Clear","None"
"2472",2472,"ATHENRY",2017,4,13,23,"2017-04-13 23:00:00","0,2","9,9",96,"1017",9,240,"Clear","Clear","Clear","Clear","None"
"2496",2496,"ATHENRY",2017,4,14,23,"2017-04-14 23:00:00","0","6,5",83,"1018,5",6,270,"Clear","Clear","Clear","Clear","None"
"2520",2520,"ATHENRY",2017,4,15,23,"2017-04-15 23:00:00","0","6,2",81,"1024,3",4,250,"Clear","Clear","Clear","Clear","None"
"2544",2544,"ATHENRY",2017,4,16,23,"2017-04-16 23:00:00","0","7,9",90,"1024,7",5,260,"Clear","Clear","Clear","Clear","None"
"2568",2568,"ATHENRY",2017,4,17,23,"2017-04-17 23:00:00","0","5,7",89,"1029,5",3,50,"Clear","Clear","Clear","Clear","None"
"2592",2592,"ATHENRY",2017,4,18,23,"2017-04-18 23:00:00","0","10,1",91,"1034,4",3,220,"Clear","Clear","Clear","Clear","None"
"2616",2616,"ATHENRY",2017,4,19,23,"2017-04-19 23:00:00","0","10,5",82,"1037,2",2,250,"Clear","Clear","Clear","Clear","None"
"2640",2640,"ATHENRY",2017,4,20,23,"2017-04-20 23:00:00","0","7,5",88,"1036,1",3,300,"Clear","Clear","Clear","Clear","None"
"2664",2664,"ATHENRY",2017,4,21,23,"2017-04-21 23:00:00","0","9,7",81,"1033,8",3,320,"Clear","Clear","Clear","Clear","None"
"2688",2688,"ATHENRY",2017,4,22,23,"2017-04-22 23:00:00","0","8,3",86,"1030,5",2,310,"Clear","Clear","Clear","Clear","None"
"2712",2712,"ATHENRY",2017,4,23,23,"2017-04-23 23:00:00","0","9,3",86,"1023,3",3,290,"Clear","Clear","Clear","Clear","None"
"2736",2736,"ATHENRY",2017,4,24,23,"2017-04-24 23:00:00","0","0,7",85,"1023",6,310,"Clear","Clear","Clear","Clear","None"
"2760",2760,"ATHENRY",2017,4,25,23,"2017-04-25 23:00:00","0","1,6",82,"1025,4",5,350,"Clear","Clear","Clear","Clear","None"
"2784",2784,"ATHENRY",2017,4,26,23,"2017-04-26 23:00:00","0","3,6",91,"1024,7",4,300,"Clear","Clear","Clear","Clear","None"
"2808",2808,"ATHENRY",2017,4,27,23,"2017-04-27 23:00:00","0","7",86,"1022,7",3,310,"Clear","Clear","Clear","Clear","None"
"2832",2832,"ATHENRY",2017,4,28,23,"2017-04-28 23:00:00","0","7,2",74,"1011,2",5,140,"Clear","Clear","Clear","Clear","None"
"2856",2856,"ATHENRY",2017,4,29,23,"2017-04-29 23:00:00","0","8,2",83,"997,9",9,80,"Clear","Clear","Clear","Clear","None"
"2880",2880,"ATHENRY",2017,4,30,23,"2017-04-30 23:00:00","0","8,4",86,"999,1",3,60,"Clear","Clear","Clear","Clear","None"
"2904",2904,"ATHENRY",2017,5,1,23,"2017-05-01 23:00:00","0","5,8",91,"1014,5",1,80,"Clear","Clear","Clear","Clear","None"
"2928",2928,"ATHENRY",2017,5,2,23,"2017-05-02 23:00:00","0","9,5",81,"1024,2",9,70,"Clear","Clear","Clear","Clear","None"
"2952",2952,"ATHENRY",2017,5,3,23,"2017-05-03 23:00:00","0","10,2",60,"1027,2",7,40,"Clear","Clear","Clear","Clear","None"
"2976",2976,"ATHENRY",2017,5,4,23,"2017-05-04 23:00:00","0","9,3",67,"1024,7",9,60,"Clear","Clear","Clear","Clear","None"
"3000",3000,"ATHENRY",2017,5,5,23,"2017-05-05 23:00:00","0","9,3",65,"1016,3",11,60,"Clear","Clear","Clear","Clear","None"
"3024",3024,"ATHENRY",2017,5,6,23,"2017-05-06 23:00:00","0","7,9",88,"1020,7",1,360,"Clear","Clear","Clear","Clear","None"
"3048",3048,"ATHENRY",2017,5,7,23,"2017-05-07 23:00:00","0","8,2",88,"1026,2",3,340,"Clear","Clear","Clear","Clear","None"
"3072",3072,"ATHENRY",2017,5,8,23,"2017-05-08 23:00:00","0","7,2",75,"1028,7",6,60,"Clear","Clear","Clear","Clear","None"
"3096",3096,"ATHENRY",2017,5,9,23,"2017-05-09 23:00:00","0","9,4",77,"1014,8",6,360,"Clear","Clear","Clear","Clear","None"
"3120",3120,"ATHENRY",2017,5,10,23,"2017-05-10 23:00:00","0","8,4",82,"1000",5,350,"Clear","Clear","Clear","Clear","None"
"3144",3144,"ATHENRY",2017,5,11,23,"2017-05-11 23:00:00","0","12,3",74,"992,8",4,40,"Clear","Clear","Clear","Clear","None"
"3168",3168,"ATHENRY",2017,5,12,23,"2017-05-12 23:00:00","0,2","10,5",93,"996,8",5,290,"Clear","Clear","Clear","Clear","None"
"3192",3192,"ATHENRY",2017,5,13,23,"2017-05-13 23:00:00","0","8",90,"1004",5,190,"Clear","Clear","Clear","Clear","None"
"3216",3216,"ATHENRY",2017,5,14,23,"2017-05-14 23:00:00","0","11,5",74,"1011",13,140,"Clear","Clear","Clear","Clear","None"
"3240",3240,"ATHENRY",2017,5,15,23,"2017-05-15 23:00:00","0","15,4",84,"1008,5",11,180,"Clear","Clear","Clear","Clear","None"
"3264",3264,"ATHENRY",2017,5,16,23,"2017-05-16 23:00:00","0","8,7",81,"1018,4",5,190,"Clear","Clear","Clear","Clear","None"
"3288",3288,"ATHENRY",2017,5,17,23,"2017-05-17 23:00:00","0","7,6",89,"1012,3",5,190,"Clear","Clear","Clear","Clear","None"
"3312",3312,"ATHENRY",2017,5,18,23,"2017-05-18 23:00:00","0","5,7",89,"1012,6",2,270,"Clear","Clear","Clear","Clear","None"
"3336",3336,"ATHENRY",2017,5,19,23,"2017-05-19 23:00:00","0","8,9",86,"1012,6",3,260,"Clear","Clear","Clear","Clear","None"
"3360",3360,"ATHENRY",2017,5,20,23,"2017-05-20 23:00:00","0","9,7",85,"1015,4",4,180,"Clear","Clear","Clear","Clear","None"
"3384",3384,"ATHENRY",2017,5,21,23,"2017-05-21 23:00:00","0","12,4",75,"1010,8",11,150,"Clear","Clear","Clear","Clear","None"
"3408",3408,"ATHENRY",2017,5,22,23,"2017-05-22 23:00:00","0","11,5",91,"1014,8",2,230,"Clear","Clear","Clear","Clear","None"
"3432",3432,"ATHENRY",2017,5,23,23,"2017-05-23 23:00:00","0","13,3",94,"1024,8",6,210,"Clear","Clear","Clear","Clear","None"
"3456",3456,"ATHENRY",2017,5,24,23,"2017-05-24 23:00:00","0","12,8",94,"1023",2,50,"Clear","Clear","Clear","Clear","None"
"3480",3480,"ATHENRY",2017,5,25,23,"2017-05-25 23:00:00","0","16,6",79,"1016,4",6,110,"Clear","Clear","Clear","Clear","None"
"3504",3504,"ATHENRY",2017,5,26,23,"2017-05-26 23:00:00","0,2","14,3",95,"1010,5",2,260,"Clear","Clear","Clear","Clear","None"
"3528",3528,"ATHENRY",2017,5,27,23,"2017-05-27 23:00:00","0","9,9",90,"1017,7",3,260,"Clear","Clear","Clear","Clear","None"
"3552",3552,"ATHENRY",2017,5,28,23,"2017-05-28 23:00:00","0,1","13,3",88,"1015,6",4,80,"Clear","Clear","Clear","Clear","None"
"3576",3576,"ATHENRY",2017,5,29,23,"2017-05-29 23:00:00","0","11,2",91,"1011,1",5,220,"Clear","Clear","Clear","Clear","None"
"3600",3600,"ATHENRY",2017,5,30,23,"2017-05-30 23:00:00","0","9,2",80,"1020",4,40,"Clear","Clear","Clear","Clear","None"
"3624",3624,"ATHENRY",2017,5,31,23,"2017-05-31 23:00:00","0","12,6",75,"1014,9",6,170,"Clear","Clear","Clear","Clear","None"
"3648",3648,"ATHENRY",2017,6,1,23,"2017-06-01 23:00:00","0","10,8",93,"1015,3",4,190,"Clear","Clear","Clear","Clear","None"
"3672",3672,"ATHENRY",2017,6,2,23,"2017-06-02 23:00:00","0","8,9",88,"1013,8",2,100,"Clear","Clear","Clear","Clear","None"
"3696",3696,"ATHENRY",2017,6,3,23,"2017-06-03 23:00:00","0","9,8",84,"1012,1",7,210,"Clear","Clear","Clear","Clear","None"
"3720",3720,"ATHENRY",2017,6,4,23,"2017-06-04 23:00:00","0,8","11,4",93,"1001,9",9,180,"Clear","Clear","Clear","Clear","None"
"3744",3744,"ATHENRY",2017,6,5,23,"2017-06-05 23:00:00","0","9",88,"998,8",8,290,"Clear","Clear","Clear","Clear","None"
"3768",3768,"ATHENRY",2017,6,6,23,"2017-06-06 23:00:00","0","10,6",76,"1009,4",6,250,"Clear","Clear","Clear","Clear","None"
"3792",3792,"ATHENRY",2017,6,7,23,"2017-06-07 23:00:00","0","12,7",93,"1004,1",5,210,"Clear","Clear","Clear","Clear","None"
"3816",3816,"ATHENRY",2017,6,8,23,"2017-06-08 23:00:00","0","10,5",93,"1000,8",6,200,"Clear","Clear","Clear","Clear","None"
"3840",3840,"ATHENRY",2017,6,9,23,"2017-06-09 23:00:00","3,4","11,9",93,"1003,2",10,120,"Clear","Clear","Clear","Clear","None"
"3864",3864,"ATHENRY",2017,6,10,23,"2017-06-10 23:00:00","0,3","12,7",92,"1004,4",10,190,"Clear","Clear","Clear","Clear","None"
"3888",3888,"ATHENRY",2017,6,11,23,"2017-06-11 23:00:00","0","12,1",87,"1010,2",13,250,"Clear","Clear","Clear","Clear","None"
"3912",3912,"ATHENRY",2017,6,12,23,"2017-06-12 23:00:00","0,1","12,6",95,"1016,9",8,210,"Clear","Clear","Clear","Clear","None"
"3936",3936,"ATHENRY",2017,6,13,23,"2017-06-13 23:00:00","0","13,3",84,"1015,1",6,180,"Clear","Clear","Clear","Clear","None"
"3960",3960,"ATHENRY",2017,6,14,23,"2017-06-14 23:00:00","0","13,3",90,"1007,5",10,210,"Clear","Clear","Clear","Clear","None"
"3984",3984,"ATHENRY",2017,6,15,23,"2017-06-15 23:00:00","0","13,3",87,"1018,6",7,250,"Clear","Clear","Clear","Clear","None"
"4008",4008,"ATHENRY",2017,6,16,23,"2017-06-16 23:00:00","0","13,9",91,"1025,7",8,200,"Clear","Clear","Clear","Clear","None"
"4032",4032,"ATHENRY",2017,6,17,23,"2017-06-17 23:00:00","0","13,7",88,"1025,6",7,220,"Clear","Clear","Clear","Clear","None"
"4056",4056,"ATHENRY",2017,6,18,23,"2017-06-18 23:00:00","0","13,2",89,"1021,4",1,230,"Clear","Clear","Clear","Clear","None"
"4080",4080,"ATHENRY",2017,6,19,23,"2017-06-19 23:00:00","0","13,4",87,"1021,7",7,350,"Clear","Clear","Clear","Clear","None"
"4104",4104,"ATHENRY",2017,6,20,23,"2017-06-20 23:00:00","0","17,2",75,"1014,6",7,70,"Clear","Clear","Clear","Clear","None"
"4128",4128,"ATHENRY",2017,6,21,23,"2017-06-21 23:00:00","0","14,1",90,"1012",7,300,"Clear","Clear","Clear","Clear","None"
"4152",4152,"ATHENRY",2017,6,22,23,"2017-06-22 23:00:00","0","13,4",88,"1011,1",11,190,"Clear","Clear","Clear","Clear","None"
"4176",4176,"ATHENRY",2017,6,23,23,"2017-06-23 23:00:00","0","12,4",85,"1013,6",5,260,"Clear","Clear","Clear","Clear","None"
"4200",4200,"ATHENRY",2017,6,24,23,"2017-06-24 23:00:00","0,2","11,9",96,"1011,2",4,200,"Clear","Clear","Clear","Clear","None"
"4224",4224,"ATHENRY",2017,6,25,23,"2017-06-25 23:00:00","0","8,9",92,"1015,7",1,290,"Clear","Clear","Clear","Clear","None"
"4248",4248,"ATHENRY",2017,6,26,23,"2017-06-26 23:00:00","5,4","12,9",96,"1006,7",6,100,"Clear","Clear","Clear","Clear","None"
"4272",4272,"ATHENRY",2017,6,27,23,"2017-06-27 23:00:00","0","12,9",91,"1001,2",4,190,"Clear","Clear","Clear","Clear","None"
"4296",4296,"ATHENRY",2017,6,28,23,"2017-06-28 23:00:00","0,9","12,1",95,"1003,1",5,340,"Clear","Clear","Clear","Clear","None"
"4320",4320,"ATHENRY",2017,6,29,23,"2017-06-29 23:00:00","0","11,2",80,"1010,1",15,320,"Clear","Clear","Clear","Clear","None"
"4344",4344,"ATHENRY",2017,6,30,23,"2017-06-30 23:00:00","0","8,8",88,"1019,1",3,280,"Clear","Clear","Clear","Clear","None"
"4368",4368,"ATHENRY",2017,7,1,23,"2017-07-01 23:00:00","0","10,6",86,"1022",4,280,"Clear","Clear","Clear","Clear","None"
"4392",4392,"ATHENRY",2017,7,2,23,"2017-07-02 23:00:00","0,1","14,1",96,"1018,8",9,230,"Clear","Clear","Clear","Clear","None"
"4416",4416,"ATHENRY",2017,7,3,23,"2017-07-03 23:00:00","0","14,8",94,"1017",5,190,"Clear","Clear","Clear","Clear","None"
